,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
631099,2017-04-23 10:11:41,2017-04-23 10:30:42,1141,Lake Shore Dr & Monroe St,Wabash Ave & Wacker Pl,Customer,,
178660,2017-02-15 16:27:14,2017-02-15 16:31:44,270,Aberdeen St & Jackson Blvd,Halsted St & Polk St,Subscriber,Male,1974.0
1155575,2017-06-07 13:02:34,2017-06-07 13:06:36,242,Orleans St & Chestnut St (NEXT Apts),Wells St & Elm St,Subscriber,Male,1994.0
994253,2017-05-28 17:11:39,2017-05-28 17:17:50,371,Clark St & Grace St,Pine Grove Ave & Irving Park Rd,Customer,,
953280,2017-05-25 16:48:38,2017-05-25 17:06:21,1063,Clinton St & Madison St,Larrabee St & North Ave,Subscriber,Male,1974.0
656699,2017-04-25 08:27:46,2017-04-25 08:32:28,282,Desplaines St & Kinzie St,Clinton St & Washington Blvd,Subscriber,Male,1985.0
1524821,2017-06-29 11:02:39,2017-06-29 11:06:14,215,LaSalle St & Jackson Blvd,Wabash Ave & Adams St,Subscriber,Male,1975.0
1178040,2017-06-08 17:20:24,2017-06-08 17:29:37,553,Columbus Dr & Randolph St,Clinton St & Washington Blvd,Subscriber,Male,1962.0
1059567,2017-06-01 18:44:20,2017-06-01 19:05:04,1244,Lake Shore Dr & North Blvd,Lake Shore Dr & Belmont Ave,Subscriber,Male,1962.0
1143224,2017-06-06 17:06:27,2017-06-06 17:17:11,644,Franklin St & Quincy St,Indiana Ave & Roosevelt Rd,Subscriber,Female,1982.0
43468,2017-01-17 07:42:46,2017-01-17 08:12:58,1812,Broadway & Cornelia Ave,Lake Shore Dr & Ohio St,Subscriber,Female,1979.0
1208350,2017-06-10 12:25:25,2017-06-10 12:44:11,1126,Broadway & Granville Ave,Chicago Ave & Washington St,Subscriber,Female,1985.0
573629,2017-04-17 14:39:53,2017-04-17 14:52:01,728,Broadway & Wilson Ave,Broadway & Belmont Ave,Subscriber,Male,1993.0
1389267,2017-06-21 15:02:11,2017-06-21 15:09:20,429,LaSalle St & Illinois St,Streeter Dr & Grand Ave,Subscriber,Female,1960.0
883509,2017-05-18 11:02:50,2017-05-18 11:08:07,317,Broadway & Barry Ave,Wilton Ave & Belmont Ave,Subscriber,Male,1990.0
340966,2017-03-13 18:10:12,2017-03-13 18:17:56,464,Franklin St & Monroe St,Green St & Madison St,Subscriber,Female,1985.0
1076861,2017-06-02 18:19:26,2017-06-02 18:37:06,1060,McClurg Ct & Illinois St,Adler Planetarium,Customer,,
1401574,2017-06-22 07:59:13,2017-06-22 08:06:36,443,Clark St & Bryn Mawr Ave,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1959.0
228687,2017-02-20 17:59:54,2017-02-20 18:04:12,258,Lombard Ave & Garfield St,Lombard Ave & Madison St,Subscriber,Male,1965.0
1490206,2017-06-27 08:09:07,2017-06-27 08:29:40,1233,Sedgwick St & Webster Ave,Franklin St & Monroe St,Subscriber,Male,1990.0
1039003,2017-05-31 16:33:53,2017-05-31 16:39:19,326,Southport Ave & Waveland Ave,Ashland Ave & Belle Plaine Ave,Subscriber,Male,1984.0
1446089,2017-06-24 16:22:44,2017-06-24 16:29:20,396,Clark St & Armitage Ave,Lakeview Ave & Fullerton Pkwy,Subscriber,Female,1991.0
329892,2017-03-10 07:59:51,2017-03-10 08:05:45,354,Millennium Park,LaSalle St & Adams St,Subscriber,Male,1962.0
1504887,2017-06-27 20:35:02,2017-06-27 20:45:45,643,Ashland Ave & 13th St,Halsted St & Polk St,Subscriber,Male,1995.0
468893,2017-04-07 14:00:08,2017-04-07 14:14:30,862,Clark St & Elm St,Broadway & Barry Ave,Subscriber,Male,1965.0
901708,2017-05-20 15:30:50,2017-05-20 15:44:00,790,Clark St & Berwyn Ave,Ravenswood Ave & Berteau Ave,Subscriber,Male,1988.0
1483264,2017-06-26 17:58:29,2017-06-26 18:09:52,683,Ashland Ave & Harrison St,Clinton St & Jackson Blvd,Subscriber,Female,1965.0
1482757,2017-06-26 17:45:30,2017-06-26 17:50:30,300,Sheridan Rd & Irving Park Rd,Sheridan Rd & Montrose Ave,Subscriber,Female,1982.0
1266948,2017-06-13 17:40:14,2017-06-13 17:43:21,187,Wabash Ave & Roosevelt Rd,Wabash Ave & 16th St,Subscriber,Male,1993.0
950771,2017-05-25 13:36:15,2017-05-25 13:52:24,969,Manor Ave & Leland Ave,Clark St & Grace St,Subscriber,Male,1987.0
1424650,2017-06-23 15:47:30,2017-06-23 16:00:39,789,Marine Dr & Ainslie St,Montrose Harbor,Customer,,
1423377,2017-06-23 14:44:02,2017-06-23 15:01:24,1042,Pine Grove Ave & Waveland Ave,Sheffield Ave & Waveland Ave,Customer,,
1165788,2017-06-07 21:52:42,2017-06-07 22:15:37,1375,Albany Ave & Bloomingdale Ave,Marshfield Ave & Cortland St,Customer,,
691525,2017-04-28 13:02:24,2017-04-28 13:16:28,844,Indiana Ave & Roosevelt Rd,Lake Shore Dr & Monroe St,Customer,,
684121,2017-04-27 16:05:24,2017-04-27 16:12:02,398,Franklin St & Monroe St,Clinton St & Madison St,Subscriber,Male,1960.0
1236024,2017-06-11 18:58:14,2017-06-11 19:09:18,664,Paulina Ave & North Ave,Western Ave & Winnebago Ave,Customer,,
87643,2017-01-25 16:34:18,2017-01-25 16:39:45,327,Dearborn St & Monroe St,Clinton St & Madison St,Subscriber,Male,1952.0
343788,2017-03-15 08:10:13,2017-03-15 08:19:47,574,Clark St & Congress Pkwy,Clinton St & Madison St,Subscriber,Male,1986.0
1032617,2017-05-31 08:09:53,2017-05-31 08:18:37,524,Franklin St & Quincy St,Wabash Ave & Grand Ave,Subscriber,Male,1978.0
1295975,2017-06-15 18:12:40,2017-06-15 18:21:48,548,Clark St & Wrightwood Ave,Larrabee St & Webster Ave,Subscriber,Male,1963.0
1148274,2017-06-06 20:27:34,2017-06-06 21:24:26,3412,Western Ave & Granville Ave,Clark St & Elm St,Subscriber,Male,1970.0
1105737,2017-06-04 12:53:08,2017-06-04 13:05:32,744,LaSalle St & Illinois St,Clinton St & Lake St,Subscriber,Male,1987.0
236028,2017-02-21 17:28:37,2017-02-21 17:42:55,858,Wabash Ave & Adams St,State St & Pearson St,Subscriber,Male,1961.0
223602,2017-02-20 12:05:43,2017-02-20 12:12:14,391,Michigan Ave & Madison St,Canal St & Madison St,Subscriber,Male,1982.0
673911,2017-04-26 13:38:11,2017-04-26 13:52:26,855,Clifton Ave & Lawrence Ave,Broadway & Thorndale Ave,Subscriber,Male,1986.0
621007,2017-04-21 21:28:13,2017-04-21 21:35:49,456,Prairie Ave & 43rd St,Woodlawn Ave & Lake Park Ave,Subscriber,Male,1965.0
115778,2017-02-01 17:12:34,2017-02-01 17:23:51,677,Financial Pl & Congress Pkwy,Loomis St & Taylor St (*),Subscriber,Male,1986.0
52735,2017-01-18 21:06:54,2017-01-18 21:19:28,754,State St & Pearson St,Carpenter St & Huron St,Subscriber,Female,1977.0
723528,2017-05-03 19:50:41,2017-05-03 20:03:17,756,Morgan St & Polk St,Morgan St & 18th St,Subscriber,Female,1992.0
718700,2017-05-03 13:37:25,2017-05-03 13:40:07,162,Canal St & Monroe St (*),LaSalle St & Washington St,Subscriber,Male,1985.0
91372,2017-01-26 12:00:10,2017-01-26 12:09:07,537,Racine Ave (May St) & Fulton St,Wells St & Huron St,Subscriber,Male,1986.0
1213961,2017-06-10 15:53:40,2017-06-10 16:19:41,1561,Larrabee St & Menomonee St,California Ave & Altgeld St,Customer,,
824816,2017-05-14 10:48:23,2017-05-14 10:59:00,637,Damen Ave & Charleston St,Greenview Ave & Diversey Pkwy,Subscriber,Male,1986.0
310775,2017-03-07 10:34:15,2017-03-07 10:42:57,522,Clinton St & Washington Blvd,Clinton St & Roosevelt Rd,Subscriber,Male,1982.0
540154,2017-04-15 08:27:39,2017-04-15 09:11:04,2605,Montrose Harbor,Theater on the Lake,Customer,,
593986,2017-04-19 08:11:20,2017-04-19 08:16:45,325,Franklin St & Monroe St,Clinton St & Tilden St,Subscriber,Male,1966.0
1007051,2017-05-29 14:50:18,2017-05-29 15:12:44,1346,Montrose Harbor,Pine Grove Ave & Waveland Ave,Customer,,
1420344,2017-06-23 11:46:34,2017-06-23 12:14:08,1654,Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,Subscriber,Male,1987.0
1460954,2017-06-25 14:15:12,2017-06-25 14:51:35,2183,Rush St & Cedar St,Stockton Dr & Wrightwood Ave,Customer,,
1352936,2017-06-19 11:24:36,2017-06-19 11:39:50,914,Halsted St & Blackhawk St (*),Dearborn St & Erie St,Subscriber,Female,1991.0
1367006,2017-06-20 08:36:29,2017-06-20 08:57:10,1241,Damen Ave & Pierce Ave,Daley Center Plaza,Subscriber,Male,1993.0
1274599,2017-06-14 08:15:45,2017-06-14 08:27:52,727,Michigan Ave & Jackson Blvd,Racine Ave & Congress Pkwy,Subscriber,Male,1988.0
778519,2017-05-10 10:47:36,2017-05-10 10:53:50,374,Kimbark Ave & 53rd St,Ellis Ave & 55th St,Subscriber,Female,1985.0
21147,2017-01-09 12:02:59,2017-01-09 12:06:08,189,Clinton St & Washington Blvd,Franklin St & Monroe St,Subscriber,Male,1967.0
1319816,2017-06-17 11:18:45,2017-06-17 11:38:29,1184,Pine Grove Ave & Irving Park Rd,Clark St & Winnemac Ave,Subscriber,Female,1986.0
271509,2017-02-27 18:45:31,2017-02-27 19:03:24,1073,Halsted St & Blackhawk St (*),Broadway & Cornelia Ave,Subscriber,Male,1990.0
934032,2017-05-23 14:39:05,2017-05-23 14:43:07,242,Wolcott Ave & Polk St,Ogden Ave & Congress Pkwy,Subscriber,Female,1958.0
1174500,2017-06-08 15:00:17,2017-06-08 16:09:25,4148,Clark St & Montrose Ave,Wells St & Elm St,Customer,,
376940,2017-03-21 18:08:25,2017-03-21 18:15:23,418,Ashland Ave & Augusta Blvd,Artesian Ave & Hubbard St,Subscriber,Male,1982.0
1196013,2017-06-09 16:47:37,2017-06-09 16:59:18,701,Columbus Dr & Randolph St,Franklin St & Quincy St,Subscriber,Male,1970.0
945951,2017-05-24 21:43:57,2017-05-24 21:50:14,377,Glenwood Ave & Morse Ave,Clark St & Jarvis Ave,Subscriber,Male,1983.0
1356502,2017-06-19 16:20:54,2017-06-19 16:34:51,837,Clinton St & Lake St,Michigan Ave & Congress Pkwy,Subscriber,Female,1995.0
1419786,2017-06-23 11:01:12,2017-06-23 11:07:22,370,Wells St & Evergreen Ave,Lake Shore Dr & North Blvd,Subscriber,Male,1991.0
659661,2017-04-25 13:02:44,2017-04-25 13:06:22,218,Clinton St & Jackson Blvd,LaSalle St & Jackson Blvd,Subscriber,Male,1974.0
1030171,2017-05-30 22:32:55,2017-05-30 22:40:51,476,Clinton St & Washington Blvd,Carpenter St & Huron St,Subscriber,Male,1988.0
900647,2017-05-20 11:47:27,2017-05-20 11:54:29,422,Morgan Ave & 14th Pl,Halsted St & Polk St,Subscriber,Male,1994.0
833806,2017-05-14 21:26:41,2017-05-14 21:48:33,1312,Streeter Dr & Grand Ave,Theater on the Lake,Subscriber,Male,1991.0
734137,2017-05-05 07:44:20,2017-05-05 07:55:17,657,Financial Pl & Congress Pkwy,Aberdeen St & Jackson Blvd,Subscriber,Male,1989.0
397184,2017-03-24 16:38:40,2017-03-24 16:42:51,251,Southport Ave & Roscoe St,Southport Ave & Irving Park Rd,Subscriber,Male,1991.0
769876,2017-05-09 14:47:44,2017-05-09 15:07:40,1196,Ravenswood Ave & Lawrence Ave,Glenwood Ave & Morse Ave,Subscriber,Male,1976.0
678288,2017-04-26 18:08:49,2017-04-26 18:42:18,2009,Wilton Ave & Diversey Pkwy,Clarendon Ave & Junior Ter,Subscriber,Male,1993.0
1063807,2017-06-02 07:18:49,2017-06-02 07:21:52,183,Canal St & Adams St,Clinton St & Madison St,Subscriber,Male,1990.0
813463,2017-05-13 13:33:36,2017-05-13 13:52:54,1158,Shedd Aquarium,Millennium Park,Customer,,
782272,2017-05-10 18:17:44,2017-05-10 18:22:19,275,Shore Dr & 55th St,Lake Park Ave & 53rd St,Subscriber,Male,1986.0
960180,2017-05-26 07:49:58,2017-05-26 07:59:42,584,Ada St & Washington Blvd,Franklin St & Monroe St,Subscriber,Male,1978.0
1029719,2017-05-30 21:09:32,2017-05-30 21:23:47,855,Damen Ave & Division St,Ogden Ave & Race Ave,Subscriber,Female,1987.0
1221067,2017-06-10 22:28:17,2017-06-10 22:47:04,1127,Wilton Ave & Diversey Pkwy,Ashland Ave & Division St,Subscriber,Male,1987.0
1242306,2017-06-12 08:40:44,2017-06-12 08:57:22,998,Ritchie Ct & Banks St,Daley Center Plaza,Subscriber,Male,1989.0
1381651,2017-06-21 06:56:41,2017-06-21 07:24:55,1694,Damen Ave & Cortland St,Canal St & Madison St,Subscriber,Male,1984.0
405265,2017-03-27 06:35:22,2017-03-27 06:42:51,449,Southport Ave & Waveland Ave,Sheffield Ave & Wellington Ave,Subscriber,Male,1986.0
326951,2017-03-09 17:02:12,2017-03-09 17:06:16,244,Clinton St & Lake St,Canal St & Adams St,Subscriber,Female,1956.0
928107,2017-05-22 19:08:44,2017-05-22 19:16:34,470,Clark St & Lunt Ave,Greenview Ave & Jarvis Ave,Subscriber,Female,1971.0
308735,2017-03-07 06:59:15,2017-03-07 07:12:38,803,Larrabee St & North Ave,Marshfield Ave & Cortland St,Subscriber,Male,1988.0
741245,2017-05-05 20:19:50,2017-05-05 20:36:36,1006,Western Ave & Division St,Clybourn Ave & Division St,Subscriber,Male,1987.0
1194375,2017-06-09 15:47:30,2017-06-09 15:59:41,731,Clinton St & Jackson Blvd,Dearborn Pkwy & Delaware Pl,Subscriber,Female,1988.0
665093,2017-04-25 18:03:47,2017-04-25 18:10:42,415,Orleans St & Ohio St,Clinton St & Madison St,Subscriber,Male,1982.0
1479710,2017-06-26 16:25:57,2017-06-26 16:34:56,539,MLK Jr Dr & 29th St,State St & 33rd St,Subscriber,Female,1993.0
301283,2017-03-06 06:07:55,2017-03-06 06:12:29,274,Lincoln Ave & Belmont Ave,Racine Ave & Belmont Ave,Subscriber,Female,1993.0
970191,2017-05-27 11:05:47,2017-05-27 11:33:48,1681,Michigan Ave & Lake St,Shedd Aquarium,Customer,,
1012291,2017-05-29 18:06:32,2017-05-29 18:20:30,838,Theater on the Lake,Wells St & Concord Ln,Customer,,
329576,2017-03-10 07:25:53,2017-03-10 07:29:31,218,Wilton Ave & Diversey Pkwy,Lincoln Ave & Fullerton Ave,Subscriber,Female,1994.0
60113,2017-01-20 16:26:43,2017-01-20 16:51:03,1460,Lincoln Ave & Fullerton Ave,State St & Kinzie St,Subscriber,Male,1960.0
1324758,2017-06-17 14:45:42,2017-06-17 15:08:55,1393,Sheffield Ave & Webster Ave,Lake Shore Dr & North Blvd,Customer,,
989036,2017-05-28 12:36:21,2017-05-28 12:50:42,861,Daley Center Plaza,Franklin St & Monroe St,Customer,,
943790,2017-05-24 17:41:55,2017-05-24 17:51:43,588,Franklin St & Jackson Blvd,Michigan Ave & Lake St,Subscriber,Male,1978.0
1187764,2017-06-09 09:03:05,2017-06-09 09:04:39,94,Hermitage Ave & Polk St,Wolcott Ave & Polk St,Subscriber,Male,1998.0
76521,2017-01-23 17:01:00,2017-01-23 17:15:24,864,Financial Pl & Congress Pkwy,Canal St & Monroe St (*),Subscriber,Male,1963.0
87174,2017-01-25 14:49:57,2017-01-25 15:21:30,1893,Damen Ave & Grand Ave,Pine Grove Ave & Waveland Ave,Subscriber,Female,1982.0
1067273,2017-06-02 10:51:50,2017-06-02 10:57:23,333,Marshfield Ave & Cortland St,Paulina Ave & North Ave,Subscriber,Female,1987.0
994612,2017-05-28 17:29:10,2017-05-28 17:50:29,1279,Lake Shore Dr & Monroe St,Columbus Dr & Randolph St,Subscriber,Male,1959.0
157784,2017-02-11 15:11:02,2017-02-11 15:16:13,311,Lombard Ave & Garfield St,Lombard Ave & Madison St,Subscriber,Male,1991.0
1461342,2017-06-25 14:28:52,2017-06-25 14:51:35,1363,Wood St & Milwaukee Ave,Lincoln Ave & Belmont Ave,Subscriber,Male,1982.0
300576,2017-03-05 18:27:57,2017-03-05 18:35:16,439,Lincoln Ave & Leavitt St,Clark St & Montrose Ave,Subscriber,Male,1987.0
904579,2017-05-20 21:55:31,2017-05-20 22:13:02,1051,Lake Shore Dr & North Blvd,Halsted St & Willow St,Customer,,
1307622,2017-06-16 15:10:38,2017-06-16 15:21:11,633,Columbus Dr & Randolph St,Clinton St & Washington Blvd,Subscriber,Male,1994.0
1060115,2017-06-01 19:09:15,2017-06-01 19:26:35,1040,Lake Shore Dr & Monroe St,Wentworth Ave & Archer Ave,Subscriber,Male,1980.0
1148280,2017-06-06 20:28:15,2017-06-06 20:41:02,767,Michigan Ave & Congress Pkwy,Franklin St & Jackson Blvd,Customer,,
355303,2017-03-17 17:27:33,2017-03-17 17:29:44,131,Ravenswood Ave & Irving Park Rd,Ashland Ave & Belle Plaine Ave,Subscriber,Male,1989.0
1033995,2017-05-31 09:16:08,2017-05-31 09:35:44,1176,Fort Dearborn Dr & 31st St,Michigan Ave & Jackson Blvd,Subscriber,Male,1983.0
256140,2017-02-24 08:38:51,2017-02-24 08:58:16,1165,Michigan Ave & 18th St,St. Clair St & Erie St,Subscriber,Male,1979.0
1091973,2017-06-03 15:59:56,2017-06-03 16:06:23,387,Clark St & North Ave,Clark St & Lincoln Ave,Subscriber,Male,1986.0
188275,2017-02-17 09:05:50,2017-02-17 09:33:30,1660,Southport Ave & Wrightwood Ave,Desplaines St & Jackson Blvd,Subscriber,Male,1988.0
1539746,2017-06-30 11:35:18,2017-06-30 11:43:12,474,Greenview Ave & Diversey Pkwy,Lincoln Ave & Fullerton Ave,Subscriber,Male,1992.0
908578,2017-05-21 12:30:16,2017-05-21 12:36:41,385,Canal St & Madison St,Desplaines St & Kinzie St,Subscriber,Male,1991.0
775032,2017-05-10 05:08:21,2017-05-10 05:11:01,160,Wells St & Evergreen Ave,Clark St & Elm St,Subscriber,Male,1987.0
669200,2017-04-26 06:56:08,2017-04-26 07:16:43,1235,Marshfield Ave & Cortland St,LaSalle St & Adams St,Subscriber,Male,1970.0
1264337,2017-06-13 16:18:32,2017-06-13 17:19:09,3637,Dearborn St & Adams St,Lakefront Trail & Bryn Mawr Ave,Subscriber,Female,1962.0
1249757,2017-06-12 17:24:40,2017-06-12 17:27:43,183,Canal St & Madison St,Green St & Madison St,Subscriber,Male,1987.0
845184,2017-05-15 17:56:33,2017-05-15 18:07:15,642,LaSalle St & Jackson Blvd,Dearborn St & Erie St,Subscriber,Female,1986.0
1390181,2017-06-21 15:55:21,2017-06-21 16:00:30,309,LaSalle St & Illinois St,Fairbanks Ct & Grand Ave,Subscriber,Female,1980.0
822654,2017-05-13 23:53:46,2017-05-14 00:13:22,1176,Clark St & Grace St,Ashland Ave & Wrightwood Ave,Customer,,
791452,2017-05-11 18:04:16,2017-05-11 18:15:01,645,Kingsbury St & Erie St,Dearborn St & Monroe St,Subscriber,Male,1983.0
1125373,2017-06-05 15:47:43,2017-06-05 16:06:38,1135,Kedzie Ave & Milwaukee Ave,Campbell Ave & North Ave,Subscriber,Male,1993.0
146116,2017-02-08 20:44:48,2017-02-08 20:49:10,262,Sheffield Ave & Kingsbury St,Halsted St & Willow St,Subscriber,Female,1981.0
455215,2017-04-04 17:45:08,2017-04-04 17:51:19,371,Millennium Park,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1992.0
507031,2017-04-11 08:29:31,2017-04-11 08:33:58,267,Southport Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,Subscriber,Male,1992.0
1521729,2017-06-29 07:46:52,2017-06-29 07:52:51,359,Broadway & Barry Ave,Lakeview Ave & Fullerton Pkwy,Subscriber,Male,1989.0
459120,2017-04-06 05:12:12,2017-04-06 05:22:48,636,Michigan Ave & 18th St,LaSalle St & Adams St,Subscriber,Male,1964.0
1304618,2017-06-16 11:50:50,2017-06-16 11:53:02,132,Canal St & Monroe St (*),Franklin St & Monroe St,Subscriber,Male,1983.0
1300796,2017-06-16 05:38:56,2017-06-16 05:47:37,521,Broadway & Cornelia Ave,Clark St & Wrightwood Ave,Subscriber,Male,1990.0
497425,2017-04-09 18:58:03,2017-04-09 19:27:22,1759,Cannon Dr & Fullerton Ave,Streeter Dr & Grand Ave,Customer,,
70856,2017-01-22 12:40:50,2017-01-22 12:58:48,1078,Clark St & Armitage Ave,LaSalle St & Illinois St,Customer,,
571492,2017-04-17 11:00:03,2017-04-17 11:04:45,282,Lake Shore Dr & Belmont Ave,Broadway & Barry Ave,Subscriber,Male,1990.0
1514573,2017-06-28 17:01:04,2017-06-28 17:04:38,214,Ellis Ave & 58th St,Ellis Ave & 55th St,Subscriber,Female,1981.0
346474,2017-03-15 19:33:40,2017-03-15 19:37:11,211,Stave St & Armitage Ave,Humboldt Blvd & Armitage Ave,Subscriber,Male,1976.0
1008563,2017-05-29 15:43:08,2017-05-29 16:01:07,1079,Burnham Harbor,Lake Park Ave & 35th St,Customer,,
1467901,2017-06-25 18:56:37,2017-06-25 19:10:06,809,Lake Shore Dr & Wellington Ave,Clarendon Ave & Leland Ave,Subscriber,Male,1987.0
277607,2017-02-28 17:19:34,2017-02-28 17:38:23,1129,Jefferson St & Monroe St,Federal St & Polk St,Subscriber,Male,1984.0
1376490,2017-06-20 18:10:02,2017-06-20 18:17:44,462,Eckhart Park,Damen Ave & Pierce Ave,Subscriber,Male,1981.0
1149685,2017-06-07 05:36:44,2017-06-07 05:51:34,890,Canal St & Adams St,State St & Pearson St,Subscriber,Male,1951.0
944093,2017-05-24 17:58:47,2017-05-24 18:01:37,170,Green St & Madison St,Peoria St & Jackson Blvd,Subscriber,Female,1988.0
639118,2017-04-23 17:05:43,2017-04-23 17:12:49,426,Southport Ave & Wrightwood Ave,Sheffield Ave & Webster Ave,Subscriber,Male,1970.0
1340700,2017-06-18 15:46:38,2017-06-18 16:00:09,811,Michigan Ave & Congress Pkwy,Green St & Randolph St,Subscriber,Female,1977.0
917037,2017-05-22 08:08:17,2017-05-22 08:11:52,215,McClurg Ct & Illinois St,Rush St & Hubbard St,Subscriber,Male,1989.0
313305,2017-03-07 16:55:09,2017-03-07 17:08:42,813,Larrabee St & Kingsbury St,Marshfield Ave & Cortland St,Subscriber,Male,1960.0
389872,2017-03-24 04:45:58,2017-03-24 04:56:49,651,Dayton St & North Ave,Elston Ave & Wabansia Ave,Subscriber,Male,1964.0
1462548,2017-06-25 15:12:57,2017-06-25 15:38:46,1549,Clark St & Wrightwood Ave,Clark St & Winnemac Ave,Subscriber,Female,1977.0
780373,2017-05-10 15:38:49,2017-05-10 15:50:29,700,Larrabee St & Kingsbury St,Michigan Ave & Lake St,Subscriber,Male,1981.0
1321945,2017-06-17 12:54:31,2017-06-17 13:03:10,519,Southport Ave & Wrightwood Ave,Ashland Ave & Wellington Ave,Subscriber,Female,1987.0
1276026,2017-06-14 09:28:12,2017-06-14 09:34:41,389,Wacker Dr & Washington St,State St & Randolph St,Subscriber,Male,1977.0
653179,2017-04-24 19:38:20,2017-04-24 19:50:49,749,Wilton Ave & Diversey Pkwy,Clark St & Armitage Ave,Subscriber,Male,1988.0
518907,2017-04-12 14:54:26,2017-04-12 15:26:04,1898,Sedgwick St & Webster Ave,Albany (Kedzie) Ave & Montrose Ave,Customer,,
689179,2017-04-28 08:25:11,2017-04-28 08:31:42,391,Franklin St & Quincy St,State St & Randolph St,Subscriber,Male,1965.0
631892,2017-04-23 11:18:31,2017-04-23 11:30:30,719,Dusable Harbor,Streeter Dr & Grand Ave,Customer,,
407130,2017-03-27 12:20:30,2017-03-27 12:22:27,117,Bissell St & Armitage Ave,Sheffield Ave & Webster Ave,Subscriber,Male,1990.0
809456,2017-05-13 10:16:25,2017-05-13 10:45:43,1758,Streeter Dr & Grand Ave,Lake Shore Dr & Monroe St,Customer,,
576949,2017-04-17 17:46:35,2017-04-17 17:54:21,466,Green St & Madison St,Racine Ave & Congress Pkwy,Subscriber,Male,1974.0
1018824,2017-05-30 08:49:33,2017-05-30 09:00:34,661,Larrabee St & Kingsbury St,Wabash Ave & Wacker Pl,Subscriber,Male,1985.0
910201,2017-05-21 13:56:57,2017-05-21 13:59:54,177,Wabash Ave & 16th St,Wabash Ave & Roosevelt Rd,Subscriber,Male,1990.0
1079386,2017-06-02 20:27:19,2017-06-02 20:48:38,1279,Adler Planetarium,Lake Shore Dr & Ohio St,Customer,,
866396,2017-05-17 07:27:51,2017-05-17 07:33:47,356,Canal St & Madison St,Michigan Ave & Washington St,Subscriber,Male,1987.0
1298093,2017-06-15 19:41:44,2017-06-15 19:59:02,1038,Wabash Ave & 16th St,State St & Randolph St,Subscriber,Female,1990.0
1234362,2017-06-11 17:34:41,2017-06-11 17:55:26,1245,Michigan Ave & Oak St,Millennium Park,Customer,,
891380,2017-05-18 18:30:09,2017-05-18 18:56:00,1551,Mies van der Rohe Way & Chestnut St,Clark St & Wellington Ave,Subscriber,Male,1965.0
101973,2017-01-29 16:30:38,2017-01-29 16:44:12,814,Ogden Ave & Chicago Ave,Damen Ave & Cortland St,Subscriber,Male,1980.0
949043,2017-05-25 09:37:57,2017-05-25 10:14:55,2218,Ogden Ave & Roosevelt Rd,Milwaukee Ave & Wabansia Ave,Customer,,
45158,2017-01-17 14:34:02,2017-01-17 14:53:18,1156,State St & Pearson St,Canal St & Adams St,Subscriber,Male,1951.0
943769,2017-05-24 17:40:52,2017-05-24 17:47:14,382,Sheffield Ave & Waveland Ave,Southport Ave & Waveland Ave,Subscriber,Female,1994.0
760295,2017-05-08 11:37:31,2017-05-08 11:44:45,434,Field Museum,Michigan Ave & Congress Pkwy,Subscriber,Male,1968.0
516399,2017-04-12 08:59:30,2017-04-12 09:02:36,186,Eckhart Park,Noble St & Milwaukee Ave,Subscriber,Male,1980.0
892719,2017-05-18 19:37:20,2017-05-18 19:50:48,808,Wells St & Walton St,Canal St & Adams St,Customer,,
591180,2017-04-18 20:34:23,2017-04-18 20:37:08,165,Wells St & Polk St,Federal St & Polk St,Subscriber,Male,1983.0
1271400,2017-06-13 21:56:29,2017-06-13 22:11:27,898,Orleans St & Ohio St,Wood St & Division St,Subscriber,Male,1988.0
12993,2017-01-05 15:13:08,2017-01-05 15:37:14,1446,Paulina Ave & North Ave,Dearborn St & Adams St,Subscriber,Male,1984.0
397173,2017-03-24 16:38:27,2017-03-24 16:55:24,1017,Michigan Ave & Oak St,Sedgwick St & Webster Ave,Customer,,
182594,2017-02-16 09:10:36,2017-02-16 09:24:11,815,Ashland Ave & Division St,Desplaines St & Jackson Blvd,Subscriber,Male,1990.0
1452101,2017-06-24 21:12:44,2017-06-24 21:24:59,735,Wells St & Concord Ln,Dearborn St & Erie St,Customer,,
1446291,2017-06-24 16:30:35,2017-06-24 16:40:33,598,Ashland Ave & Lake St,Wood St & Division St,Subscriber,Male,1985.0
253858,2017-02-23 17:01:54,2017-02-23 17:13:16,682,Larrabee St & Kingsbury St,Rush St & Cedar St,Subscriber,Female,1987.0
1265123,2017-06-13 16:48:23,2017-06-13 16:54:06,343,Southport Ave & Clybourn Ave,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1995.0
1332981,2017-06-18 10:01:26,2017-06-18 10:53:29,3123,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,Customer,,
1160925,2017-06-07 17:36:15,2017-06-07 17:51:44,929,Desplaines St & Kinzie St,Morgan St & 18th St,Subscriber,Male,1983.0
1026963,2017-05-30 17:59:49,2017-05-30 18:13:56,847,Loomis St & Lexington St,Clinton St & Madison St,Subscriber,Male,1972.0
7076,2017-01-03 17:34:19,2017-01-03 17:40:15,356,Dearborn St & Adams St,Canal St & Madison St,Subscriber,Male,1983.0
